Ingreso;Vehículo Pesado;12.96;1/3/2019;00:23:41
Salida;Vehículo Liviano;12.28;1/3/2019;00:23:42
Ingreso;Vehículo Pesado;9.81;1/3/2019;00:23:44
Ingreso;Vehículo Liviano;28;1/3/2019;00:23:49
Salida;Vehículo Liviano;14.09;1/3/2019;00:23:53
Salida;Vehículo Liviano;22.18;1/3/2019;00:23:56
Salida;Vehículo Liviano;10.8;1/3/2019;00:23:57
Salida;Vehículo Liviano;29.04;1/3/2019;00:23:58
Salida;Vehículo Liviano;11.19;1/3/2019;00:23:59
Ingreso;Vehículo Pesado;7.49;1/3/2019;00:24:00
Ingreso;Vehículo Pesado;6.47;1/3/2019;00:24:00
Ingreso;Vehículo Pesado;8.51;1/3/2019;00:24:05
Ingreso;Vehículo Pesado;6.53;1/3/2019;00:24:07
Salida;Vehículo Liviano;11.17;1/3/2019;00:24:08
Ingreso;Vehículo Pesado;7.03;1/3/2019;00:24:09
Ingreso;Vehículo Pesado;12.5;1/3/2019;00:24:10
Salida;Vehículo Liviano;11.93;1/3/2019;00:24:15
Ingreso;Vehículo Pesado;8.64;1/3/2019;00:24:19
Ingreso;Vehículo Pesado;8.82;1/3/2019;00:24:22
Salida;Vehículo Pesado;11.25;1/3/2019;00:24:24
Ingreso;Vehículo Pesado;6.48;1/3/2019;00:24:25
Salida;Vehículo Liviano;5.98;1/3/2019;00:24:26
Salida;Vehículo Liviano;10.89;1/3/2019;00:24:26
Ingreso;Vehículo Pesado;8.52;1/3/2019;00:24:29
Salida;Vehículo Liviano;12.23;1/3/2019;00:24:33
Salida;Vehículo Liviano;22.06;1/3/2019;00:24:34
Ingreso;Vehículo Pesado;6.08;1/3/2019;00:24:34
Salida;Vehículo Liviano;6.69;1/3/2019;00:24:36
Salida;Vehículo Liviano;11.55;1/3/2019;00:24:40
Ingreso;Vehículo Pesado;7.61;1/3/2019;00:24:40
Salida;Vehículo Liviano;9.1;1/3/2019;00:24:42
Ingreso;Vehículo Pesado;10.62;1/3/2019;00:24:45
Ingreso;Vehículo Pesado;5.66;1/3/2019;00:24:48
Salida;Vehículo Liviano;10.22;1/3/2019;00:24:51
Ingreso;Vehículo Pesado;6.55;1/3/2019;00:24:53
Ingreso;Vehículo Pesado;8.75;1/3/2019;00:24:56
Ingreso;Vehículo Pesado;9.56;1/3/2019;00:25:00
Salida;Vehículo Liviano;9.11;1/3/2019;00:25:02
Ingreso;Vehículo Pesado;6.96;1/3/2019;00:25:03
Salida;Vehículo Liviano;11.42;1/3/2019;00:25:05
Salida;Vehículo Liviano;13.43;1/3/2019;00:25:08
Salida;Vehículo Liviano;20.34;1/3/2019;00:25:09
Ingreso;Vehículo Pesado;9.75;1/3/2019;00:25:12
Ingreso;Vehículo Pesado;7.61;1/3/2019;00:25:12
Ingreso;Vehículo Pesado;8.48;1/3/2019;00:25:13
Ingreso;Vehículo Pesado;24.73;1/3/2019;00:25:19
Salida;Vehículo Liviano;8.75;1/3/2019;00:25:21
Salida;Vehículo Liviano;87.55;1/3/2019;00:25:24
Salida;Vehículo Liviano;11.4;1/3/2019;00:25:28
Salida;Vehículo Liviano;9.35;1/3/2019;00:25:29
Salida;Vehículo Liviano;11.01;1/3/2019;00:25:33
Ingreso;Vehículo Pesado;10.68;1/3/2019;00:25:34
Salida;Vehículo Liviano;8.66;1/3/2019;00:25:36
Salida;Vehículo Liviano;11.58;1/3/2019;00:25:37
Salida;Vehículo Liviano;10.6;1/3/2019;00:25:40
Salida;Vehículo Liviano;15.67;1/3/2019;00:25:45
Salida;Vehículo Liviano;112.11;1/3/2019;00:25:50
